[ 3021.012392] configfs-gadget.g1 gadget.0: uvc: [DEBUG] prep_requests: imagesize=460800 req_size=21504 nreqs=245 reqs_per_frame=213
[ 3021.866687] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=109870251 us (0.0 fps) queued=99
[ 3021.893264] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=26576 us (37.6 fps) queued=45
[ 3021.919621] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=26356 us (37.9 fps) queued=32
[ 3021.960739] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=41116 us (24.3 fps) queued=32
[ 3022.029305] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=68568 us (14.5 fps) queued=32
[ 3022.057388] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28081 us (35.6 fps) queued=31
[ 3022.089367] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31979 us (31.2 fps) queued=32
[ 3022.163532] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=74164 us (13.4 fps) queued=33
[ 3022.190403] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=26870 us (37.2 fps) queued=32
[ 3022.266793] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=76390 us (13.0 fps) queued=48
[ 3022.293426] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=26632 us (37.5 fps) queued=31
[ 3022.361752] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=68326 us (14.6 fps) queued=32
[ 3022.392259] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30506 us (32.7 fps) queued=31
[ 3022.462322] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=70062 us (14.2 fps) queued=32
[ 3022.505195] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=42873 us (23.3 fps) queued=32
[ 3022.547781] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=42586 us (23.4 fps) queued=31
[ 3022.590593] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=42811 us (23.3 fps) queued=32
[ 3022.633137] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=42544 us (23.5 fps) queued=32
[ 3022.663766] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30628 us (32.6 fps) queued=32
[ 3022.708161] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=44396 us (22.5 fps) queued=32
[ 3022.739811] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31648 us (31.5 fps) queued=31
[ 3022.775456] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=35645 us (28.0 fps) queued=30
[ 3022.808487] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33031 us (30.2 fps) queued=32
[ 3022.841631] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33143 us (30.1 fps) queued=31
[ 3022.876599] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34967 us (28.5 fps) queued=32
[ 3022.908080] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31480 us (31.7 fps) queued=31
[ 3022.942968] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34888 us (28.6 fps) queued=32
[ 3022.975834] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32865 us (30.4 fps) queued=32
[ 3024.753274] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=1777439 us (0.5 fps) queued=31
[ 3024.811807] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=58532 us (17.0 fps) queued=31
[ 3024.844510] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32703 us (30.5 fps) queued=31
[ 3024.879046] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34536 us (28.9 fps) queued=32
[ 3024.912030] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32984 us (30.3 fps) queued=32
[ 3024.944851] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32822 us (30.4 fps) queued=32
[ 3024.954762] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=9912 us (100.8 fps) queued=31
[ 3025.013251] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=58484 us (17.0 fps) queued=32
[ 3025.046104] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32853 us (30.4 fps) queued=31
[ 3025.117112] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=71009 us (14.0 fps) queued=32
[ 3025.153935] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=36822 us (27.1 fps) queued=32
[ 3025.188079] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34143 us (29.2 fps) queued=27
[ 3025.220598] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32519 us (30.7 fps) queued=30
[ 3025.253253] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32655 us (30.6 fps) queued=50
[ 3025.279768] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=26514 us (37.7 fps) queued=32
[ 3025.313312] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33543 us (29.8 fps) queued=31
[ 3025.348278] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34966 us (28.5 fps) queued=31
[ 3025.380892] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32614 us (30.6 fps) queued=32
[ 3025.415674] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34781 us (28.7 fps) queued=32
[ 3025.450452] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34777 us (28.7 fps) queued=32
[ 3025.485188] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34736 us (28.7 fps) queued=32
[ 3025.516018] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30831 us (32.4 fps) queued=32
[ 3025.548465] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32446 us (30.8 fps) queued=32
[ 3025.583414] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34949 us (28.6 fps) queued=32
[ 3025.620028] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=36612 us (27.3 fps) queued=31
[ 3025.654610] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34581 us (28.9 fps) queued=31
[ 3025.685635] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31026 us (32.2 fps) queued=33
[ 3025.715424] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29790 us (33.5 fps) queued=31
[ 3025.734695] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=19268 us (51.8 fps) queued=31
[ 3025.787622] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=52927 us (18.8 fps) queued=32
[ 3025.822181] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34558 us (28.9 fps) queued=29
[ 3025.852151] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29970 us (33.3 fps) queued=32
[ 3025.886724] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34571 us (28.9 fps) queued=32
[ 3025.917488] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30764 us (32.5 fps) queued=32
[ 3025.950240] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32752 us (30.5 fps) queued=32
[ 3025.987474] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=37235 us (26.8 fps) queued=49
[ 3026.016370] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=28894 us (34.6 fps) queued=32
[ 3026.051257] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34887 us (28.6 fps) queued=31
[ 3026.115964] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=64706 us (15.4 fps) queued=32
[ 3026.149149] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=33185 us (30.1 fps) queued=31
[ 3026.182100] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32951 us (30.3 fps) queued=32
[ 3026.216523] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34421 us (29.0 fps) queued=31
[ 3026.247172] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30649 us (32.6 fps) queued=32
[ 3026.282163] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34992 us (28.5 fps) queued=32
[ 3026.316451] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34286 us (29.1 fps) queued=31
[ 3026.351118] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34667 us (28.8 fps) queued=31
[ 3026.382033] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30915 us (32.3 fps) queued=32
[ 3026.416667] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34633 us (28.8 fps) queued=31
[ 3026.451239] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34572 us (28.9 fps) queued=32
[ 3026.487157] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=35916 us (27.8 fps) queued=31
[ 3026.521954] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34797 us (28.7 fps) queued=29
[ 3026.554268] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32313 us (30.9 fps) queued=31
[ 3026.588433] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34164 us (29.2 fps) queued=27
[ 3026.619405] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30973 us (32.2 fps) queued=32
[ 3026.650756] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=31349 us (31.8 fps) queued=32
[ 3026.685289] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34534 us (28.9 fps) queued=50
[ 3026.714750] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29462 us (33.9 fps) queued=31
[ 3026.733628] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=18877 us (52.9 fps) queued=30
[ 3026.784005] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=50375 us (19.8 fps) queued=31
[ 3026.816903] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=32897 us (30.3 fps) queued=31
[ 3026.850940] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34036 us (29.3 fps) queued=31
[ 3026.887010] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=36070 us (27.7 fps) queued=32
[ 3026.921633] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34623 us (28.8 fps) queued=26
[ 3026.952289] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=30655 us (32.6 fps) queued=32
[ 3026.981912] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29622 us (33.7 fps) queued=31
[ 3027.016272] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=34360 us (29.1 fps) queued=42
[ 3027.045539] configfs-gadget.g1 gadget.0: uvc: [DEBUG] frame_complete: interval=29266 us (34.1 fps) queued=31
